nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
0;50.40516019431543;2.905140015843999;271;270
44;48.99811568027832;1.923487048771865;292;295
94;48.69190000397324;5.896819824306622;288;304
0;49.27752988759129;1.0241977955008879;193;210
0;43.84465294317107;4.390210182026013;154;171
0;43.30251976133512;5.388918166791596;443;433
61;48.126256483139166;-1.6679296130380918;202;224
0;44.40264934580909;0.5989167291248232;135;156
57;48.71206175285292;2.394841141019621;363;367
54;48.91770976091729;2.2338101444648353;258;307
0;48.945994622070394;2.329565458841232;202;183
58;43.36858824859739;-0.6251662358374172;175;186
0;43.29948966367911;5.389929945404755;235;245
58;48.94547123341275;2.5199673191027494;349;364
0;-21.269996658546088;55.40061992985625;350;340
59;50.33181566173207;3.247760687010971;427;397
0;48.903594317541916;2.293386812350447;307;316
0;50.26874644340526;1.6746446524720404;156;163
0;48.95142148251619;2.369629184725014;276;260
44;48.86995327244236;2.3893779019454193;186;232
48;48.52084991896933;7.72096125009272;315;376
55;-12.790236666879142;45.12599994576025;750;798
0;49.58519509908178;2.9977898297798644;335;334
63;49.075089805433215;1.4955204950162229;290;265
46;48.36784764327686;6.2900766245311726;227;262
0;48.651990116320995;2.4002631538244916;455;504
0;47.38429543035467;0.694659408190326;199;209
54;44.565891797666836;6.082739444206575;287;290
46;44.10533875517655;1.0923666228599318;372;412
0;49.236645762376725;4.011479492261338;247;367
63;48.86069204167578;2.5302841494289563;376;429
0;49.1200744448891;6.197589709110649;227;258
53;50.099125633511356;3.5324106161619833;371;389
58;45.95327215447841;1.749399447140099;146;168
54;44.839059144812694;0.46965241109631145;260;268
0;47.98744440417012;0.21607568733298332;191;184
53;48.91646597239605;2.4698404916640575;323;371
0;48.79607461219818;2.3181524201029045;231;230
0;44.028519592034264;4.414770354406607;222;225
0;48.9119109249613;2.3607399238348705;240;266
0;48.88660937766849;2.3990776726065284;240;207
0;47.39745126789944;0.9843105117978693;227;224
0;48.96445296387383;2.338939659700138;262;266
56;48.79558974328478;2.380065590824601;260;272
80;-12.790236666879142;45.12599994576025;696;679
0;46.25485364646008;5.638289823414171;318;295
0;44.047555366708046;5.031266819380827;270;253
0;44.037724494666;5.001727505690719;374;369
0;48.82057696005296;2.364556476993583;179;221
0;;;139;101
64;49.51609891829551;0.17156939942641686;200;217
0;16.23133697158094;-61.786959071519654;128;96
53;50.021085726859674;4.050690661024452;179;206
51;44.85646023715817;-0.5829677746507886;295;299
0;48.6994840534611;2.5264281636084296;360;348
62;45.696744263891354;4.855460398189426;429;441
73;44.87440703977014;-0.5223870666307535;264;288
73;49.05436094146021;-1.4305901607271578;212;227
50;46.3794007022961;5.868670532163426;235;201
0;45.7481619936372;4.9145618813352545;209;220
0;47.33200748662968;5.073849533715506;261;291
56;43.488049494784825;5.158740692840738;336;390
58;48.87871506233707;2.441411379667264;375;388
0;-20.94256222376392;55.29129762902777;321;277
0;43.492410330657265;2.369037459980548;154;141
54;50.94828933426335;1.8331704068499097;213;202
0;46.16921315796229;-1.1787205497543571;276;222
0;48.62445004451393;2.444692112835567;307;310
93;44.089143727503824;6.231149574919586;335;346
47;43.618040359415836;3.847929799069605;305;317
0;43.37143648119913;5.355300391983345;183;193
0;48.75476701277979;2.495842015929086;277;303
0;50.47547424442204;2.558440656583557;217;190
0;46.56867100550213;0.3510568553434422;334;307
0;49.527375055269054;5.797190256340773;213;215
172;4.8351327253277105;-52.35117007411128;569;539
0;47.303547365518966;5.014969946145311;162;161
0;43.2207760806361;0.08186996803297145;235;242
0;48.743915400557626;2.3970845455341996;293;279
51;50.38556769775681;3.0743805506245514;291;278
0;48.91450885220009;2.292398114663243;247;274
0;48.887663246918464;2.4246832951309445;330;355
0;45.139329958860735;-0.41145166104362557;388;388
37;50.355747136749194;3.5038220362532377;156;160
0;46.67937522726497;4.370472644033587;208;207
63;48.09048614864535;-1.6632694028595163;293;291
56;48.91516932561166;2.3756175710181275;330;323
0;49.51054640178768;0.1585252300352849;243;222
0;50.010015248146175;3.7837402781289144;158;135
0;46.78807515110052;4.418356320377742;135;127
62;49.114205582373465;-1.080684377285271;208;186
0;47.48848490164326;-0.5268601217896858;142;141
43;50.3955694812591;3.4816293075127525;211;249
71;48.90679137877798;2.435217954913491;413;449
0;-21.21737393373981;55.306756983257756;541;585
0;49.09748024340159;6.171610513476223;203;180
103;4.929788994800419;-52.31596507060845;592;609
0;46.19285076495058;6.237469534232542;573;548
0;48.847671009915615;2.408337842697979;179;164
0;47.53840507018112;6.80400939043247;178;169
0;48.89860933146669;2.378877064621717;172;185
54;-12.68412404777842;45.078711033939136;776;785
0;-21.10363300877319;55.29652293008688;232;217
56;49.5017416116479;0.16534046144847625;133;200
0;48.90770848759252;2.383039998231103;255;257
0;48.98068018704452;2.387060632393486;181;167
62;14.676934247872456;-61.035970173931496;286;342
0;47.25213678280834;6.058809727271883;263;250
0;45.17360573035204;5.706289743106682;284;312
0;50.38314537455736;3.582870374959155;232;238
0;45.77637926436517;4.863710113971357;197;231
0;43.330958835404665;5.43018344762998;195;217
51;44.37986944804914;4.641560286850829;259;264
0;48.85056470859537;2.406619245956443;170;214
0;50.63901029289493;3.084840391287406;191;190
0;44.05095738076171;2.1537763760157254;179;211
0;44.8388487614692;-0.5331585713029526;239;249
0;50.681280837629195;3.2072199693145738;259;270
0;47.303547365518966;5.014969946145311;165;177
0;48.956551804495234;2.299929228457258;315;383
0;50.6118171943921;3.080530699112658;114;142
56;48.79386024148904;2.425426471420578;322;333
0;48.59490827061564;2.4796986015044507;325;300
0;48.81936008657006;2.5084514597171195;276;284
78;41.94145744400021;8.74855512535525;361;385
61;45.201693775378224;-0.7509541298860303;410;420
0;44.09466935826107;6.237060584123931;190;180
103;4.92306509984753;-52.407216581988564;447;449
82;43.27658883799274;5.408539592042221;265;338
0;48.87798486820767;2.36663484936782;207;185
0;48.0850336808838;-1.6798204949066526;244;213
0;43.84465294317107;4.390210182026013;172;151
0;49.51137797150841;4.366969572608813;212;185
56;48.927126717358426;2.438192138110218;311;390
0;50.26874644340526;1.6746446524720404;167;140
85;47.629446451764224;6.840144019496699;195;226
0;14.605006324249858;-61.06635696326365;168;172
0;48.63969570662481;2.435068803876908;231;280
0;14.68051029284604;-60.94006428124379;158;166
47;49.034156074185695;2.115240822356974;373;334
0;43.21377604130473;2.3477399000777415;373;379
0;49.454305751418985;1.0326899176521405;212;226
0;44.275511517716396;4.745288125657382;264;228
61;43.8339248310519;4.384729621593309;266;299
0;49.31870397951404;-1.104999863147956;104;74
0;43.56994589845756;6.963340154600625;264;282
0;48.791453966746296;2.3952706077800445;207;211
59;48.768196928477295;2.4825566041789147;303;327
0;50.42149494047896;2.9431206699958947;209;224
0;43.706818605018846;7.2589400189322655;291;297
61;-12.790236666879142;45.12599994576025;697;719
0;43.881685697463915;4.8648404259387625;518;514
34;50.290125601829985;3.9636805802247674;149;154
0;4.889986958705637;-52.34283961232714;394;368
0;48.543889180956334;2.623987470095781;243;232
0;49.74429140967184;4.720399472113474;160;149
0;45.849544776937165;1.2695904053331857;135;147
87;5.481067756110026;-54.013070596902814;561;617
0;45.17360573035204;5.706289743106682;258;328
60;50.529725801612535;2.645259432715609;347;321
0;45.81816139480754;4.900112619036367;290;308
0;43.3196178510615;5.386180404033253;314;287
0;50.727617613334296;1.6306095845429613;244;221
0;-12.721798071687594;45.116973923871456;637;577
56;43.618040359415836;3.847929799069605;335;356
0;47.390112723691864;0.729730012687513;166;188
47;48.97262225484858;2.4170511837127484;333;304
0;44.8388487614692;-0.5331585713029526;246;266
0;45.68965691970762;4.94351439762419;318;356
0;44.14299591349081;4.798565972229485;241;278
0;45.82448066511231;1.2839252719177405;232;235
0;50.4310641266138;2.9319693624659204;170;155
0;45.730537988992765;4.903545049869182;256;280
0;50.34717671609427;3.1310706351778967;207;211
103;48.69190000397324;5.896819824306622;298;333
53;50.15607697220997;2.336124610540266;262;305
0;48.63969570662481;2.435068803876908;240;273
0;48.39457538840429;6.975126001023535;143;123
54;16.259647181631955;-61.52929572730958;253;303
0;-20.94256222376392;55.29129762902777;256;248
0;44.05327546497126;3.9838104563348335;253;228
0;45.991086928968;4.721762515214991;223;251
62;48.94874387341907;2.9125511571538625;300;303
122;-20.89166339918883;55.47650996498801;492;582
113;-21.088562179504176;55.26780516630669;342;388
0;50.63147124244808;3.036739502459178;246;269
0;49.6992311347161;4.946699668278866;163;166
67;49.05854164952275;3.38393437237485;400;418
59;47.214555238777194;-1.6136695405072288;276;264
0;48.97574185893895;2.3790837555276654;405;380
56;49.75156084497803;4.722190512361697;144;166
53;43.59644765313416;3.8467403698128533;238;279
51;50.94828933426335;1.8331704068499097;210;203
0;48.90301247946519;2.47330599009689;260;265
0;43.83528869404598;5.787123117417129;154;165
0;49.029706084232835;1.1743405373788414;212;221
0;49.51054640178768;0.1585252300352849;249;237
0;-12.914362602684255;45.195229265165956;520;467
0;48.982753059563656;1.922887112017805;296;307
0;48.634135345991254;2.430438594038297;334;316
0;48.843434114510394;2.5387118197575655;251;266
62;48.66873268234934;2.363517042010605;321;350
0;49.3610350040288;1.0134087650008123;145;142
48;48.85980960533646;2.416968219146613;283;315
0;-21.288499857914907;55.46114754876427;406;416
89;43.87779141657054;-0.5093728558010466;261;289
0;48.185798720478864;6.456000415426163;180;177
107;-12.753444067604319;45.22739594336193;929;885
0;45.779670960163855;4.92880538362763;266;297
0;49.20993462751077;6.8500603280484285;116;106
0;46.81861577368733;0.5231316811789254;182;176
0;47.33200748662968;5.073849533715506;263;269
41;50.64774962781398;2.9855001431691313;99;137
59;43.64054087691382;1.4366705597466425;236;242
64;-20.899458351893493;55.48545981655612;294;320
0;4.9176399313382335;-52.30855955893174;416;389
0;47.45420204696176;6.829900270160826;267;269
0;49.42928741250463;1.0891656628493005;219;215
48;50.399192131331574;3.545290512818122;286;269
85;44.12822441870911;4.799358691386506;309;345
0;48.08391701780884;7.346959234843528;255;254
47;43.12771430693768;5.909726504143921;392;410
0;14.74474961849002;-61.01613034514083;100;110
56;50.70825662279591;1.5844998448274454;245;281
0;43.453259683075466;5.4701298149777315;191;195
0;45.02510355831413;0.7122662901331184;183;184
0;43.64264400980377;3.817089710403796;296;302
64;48.94924832230904;2.550638880906192;283;320
53;48.87871506233707;2.441411379667264;349;382
72;14.636299622964131;-61.03902018602863;233;258
0;48.0850336808838;-1.6798204949066526;221;208
0;45.72483630367119;4.882625384599657;326;303
61;48.73275912469773;2.4627014018769846;319;364
0;49.04470945718989;2.0832364383798323;258;276
0;43.29650515548216;5.365599591293657;135;166
0;44.85106732817064;-0.05064459442194146;228;189
0;48.90167190949877;2.4878894507438734;263;261
54;50.41155165553044;2.938790907188865;160;203
0;48.81844211962522;2.358378890375754;195;185
50;50.38278261710616;3.1725305000597075;212;177
0;14.611443722729364;-61.07119798782066;135;148
40;50.26837738946462;2.7673305314071426;286;256
48;45.79275611788912;4.788188554322999;309;358
0;48.67265291675446;2.3415313443860524;174;153
0;48.83847315768288;2.5569932622250633;269;253
98;48.53894707804135;-1.7654001329716966;266;328
62;41.57767404890518;9.266768799318287;276;253
0;45.71036416281546;4.816378481441572;130;189
60;44.94406940183675;4.924559994913046;347;332
35;50.4579458797513;2.622779628122749;292;254
99;46.253597238029414;5.637920168031979;372;407
0;45.650002306961134;0.12847421626497582;113;93
0;48.764434998862676;2.2526124308216255;138;163
57;45.983782886444374;4.714890389447981;231;277
0;48.873957115380314;2.386915052880952;228;240
91;48.40066590235061;2.9685607084546386;352;370
0;43.124334055184825;5.9347041399016085;287;318
48;49.01080168845365;2.205176327072565;274;326
0;48.01740166270182;0.1805152793431396;262;248
0;-20.947674402028134;55.65675445000811;352;378
0;50.42078147044804;3.5518399557173934;126;144
62;47.655874021168884;-2.0767905322319713;238;216
0;5.013046631785412;-52.478159667705064;387;407
29;14.712179262486641;-60.996560055649766;153;181
0;45.161731024705865;5.728090455359271;261;240
87;43.325958622791504;5.432413527640791;258;336
55;47.833157310219086;1.9364195008661584;311;278
0;45.04522509946785;5.056999384307703;100;111
0;42.69077386777217;2.9089852068360944;170;176
0;48.613869294101725;7.7379675122498215;231;226
56;45.81684375838678;4.905981369520654;283;326
0;48.878176730145825;2.7224828197663347;239;273
69;45.929442164610386;-0.9618604247561143;192;230
0;43.8224816363969;4.3569599691475265;280;281
0;49.292149071415714;2.4906196170819275;243;245
54;43.55229685730878;6.9668403330269175;394;385
0;48.9987566129931;1.7039515622713195;208;223
61;48.63042860914635;2.445152496048942;324;354
0;49.267760854693826;2.451049890230202;267;269
0;47.39415936499023;0.7222894684723303;125;132
0;48.963422260771466;2.2809362340796877;187;181
34;14.634087618195737;-61.06932310722952;131;158
0;48.50911833490083;-2.7510851598346853;249;292
72;43.112711393187055;5.870136453438233;284;312
0;50.43703364705557;3.571800073022058;157;143
0;48.95721205965898;2.2806656975395767;248;274
0;50.38175061469219;3.0610115023258024;303;341
60;49.39849706983318;2.795549845978134;173;191
64;47.221353426514895;5.971549365480695;313;307
0;48.95284036866517;2.3434594675069613;294;262
49;4.276021260911382;-54.38201971453933;259;265
0;50.40095515303546;3.657790588229318;209;251
